Store Number,Total Footage
1,60
2,80
3,24
4,65
7,40
9,65
10,32
11,41
12,32
13,24
14,56
15,47
17,56
18,68
19,72
20,24
21,53
22,41
23,56
25,41
26,24
27,24
28,41
29,88
30,24
31,40
32,44
34,60
35,40
37,56
38,24
39,24
40,56
41,40
42,28
43,24
44,16
46,32
47,36
48,24
49,24
50,24
51,24
52,69
54,60
56,48
59,60
60,48
61,40
62,49
63,32
64,36
65,64
68,44
69,72
70,40
72,32
73,39
74,36
76,48
77,44
78,32
79,29
80,32
81,24
82,24
83,60
85,72
86,56
88,59
89,57
90,24
91,32
92,24
93,40
94,72
95,69
96,72
97,36
98,32
99,28
100,101
101,68
102,44
103,40
104,40
106,40
107,32
108,24
109,44
111,24
112,61
113,32
115,24
116,25
117,8
120,32
121,24
122,24
123,24
124,54
125,41
126,64
129,40
130,36
132,24
134,24
135,60
136,12
137,40
138,32
139,24
140,60
144,56
145,32
146,16
147,60
148,73
149,40
150,56
151,40
152,60
155,48
156,16
158,16
159,109
160,48
161,44
162,28
163,72
165,48
166,36
168,41
170,72
171,24
172,68
173,24
174,56
175,40
177,48
178,28
179,60
180,48
182,41
183,24
184,68
185,61
186,45
188,40
189,40
190,24
192,73
194,61
195,40
196,76
197,45
198,52
199,40
200,48
201,40
203,24
204,16
205,48
206,63
207,36
208,8
209,17
210,12
211,48
212,41
213,49
214,56
215,8
217,60
218,16
219,56
220,72
221,24
222,48
225,24
227,24
228,72
230,16
231,35
232,8
233,24
234,81
236,55
237,68
238,24
239,24
240,56
242,24
243,52
244,24
246,24
247,8
248,48
249,48
250,48
251,56
252,24
253,56
256,60
257,36
258,56
259,40
260,72
261,45
262,55
264,56
265,56
266,61
267,24
268,77
269,40
271,24
272,61
275,56
276,24
277,40
278,52
280,28
282,48
283,20
284,72
285,60
286,69
287,56
288,77
289,20
290,63
292,72
293,20
294,28
295,48
297,61
298,69
299,64
300,64
301,40
302,24
303,24
304,41
305,24
306,40
307,56
308,24
309,73
310,72
311,45
312,44
313,56
314,56
315,16
316,24
318,48
319,61
320,24
321,48
322,56
324,24
325,60
326,12
327,12
328,48
329,40
330,64
331,80
332,40
334,24
335,64
337,24
338,32
340,24
341,20
342,24
343,24
344,72
345,72
346,24
347,32
350,24
352,12
354,24
355,77
356,61
357,24
359,44
360,24
361,76
362,52
363,60
364,60
365,57
366,24
368,32
369,24
370,24
371,80
372,40
373,60
374,24
375,84
376,72
378,8
379,60
381,48
382,32
383,60
384,36
385,12
386,68
387,24
388,32
389,40
390,24
391,56
392,28
393,69
394,24
395,60
396,56
397,92
398,32
399,24
400,108
401,24
402,48
403,40
404,40
405,56
406,56
407,96
408,61
409,36
410,72
412,48
413,48
414,48
415,48
416,68
417,56
418,44
419,24
420,61
421,56
423,40
424,48
425,24
426,61
427,72
428,48
429,72
431,32
432,60
433,56
434,40
435,48
436,72
437,60
438,44
440,48
442,68
443,60
444,57
446,16
447,77
448,60
449,69
450,41
451,32
452,40
453,10
456,65
457,20
458,60
459,40
460,20
461,61
462,61
463,72
464,40
465,36
466,24
467,72
468,73
469,40
470,44
471,57
472,41
473,24
474,12
475,68
476,52
477,24
478,12
479,32
480,7
481,56
482,16
483,72
484,24
485,24
486,24
487,8
488,24
489,72
490,64
491,72
492,60
493,32
494,68
495,61
498,24
499,72
500,65
501,61
502,48
503,16
504,68
505,40
506,37
507,86
508,72
510,52
511,73
512,76
513,41
514,72
515,45
516,48
517,36
518,72
520,41
521,93
522,36
523,16
524,56
526,40
527,48
528,40
529,60
530,52
531,65
532,81
533,73
534,65
535,72
536,56
537,56
538,64
539,41
540,40
541,72
542,84
543,105
544,40
545,20
546,72
547,155
548,65
549,61
551,61
552,20
553,68
554,16
555,40
556,40
557,24
558,24
559,56
560,68
561,52
562,24
563,41
564,41
565,69
566,36
567,25
568,24
571,57
572,69
573,61
574,72
575,72
576,40
577,29
578,72
579,40
580,48
581,41
582,60
583,48
585,77
586,72
587,60
588,61
589,61
590,60
591,86
592,32
593,40
594,40
595,72
596,30
597,41
598,56
599,40
600,60
601,72
602,68
603,103
604,77
605,56
606,37
607,8
608,72
609,61
610,56
611,61
612,48
613,80
614,56
615,72
616,72
617,28
618,40
619,60
620,73
621,44
622,41
623,40
624,48
625,56
626,16
627,24
628,61
629,48
630,76
631,56
632,48
633,24
634,47
635,41
636,60
637,60
638,41
639,40
640,67
641,41
642,24
643,84
644,29
645,72
646,24
647,24
648,72
649,72
650,12
651,72
652,40
653,64
655,72
656,65
657,72
658,68
659,75
660,72
661,88
662,41
663,40
664,37
666,61
667,24
668,56
669,72
670,73
671,40
672,72
673,72
674,40
675,52
676,77
677,40
678,56
680,40
681,48
682,60
683,68
684,69
685,41
686,36
687,40
688,40
689,48
690,40
691,56
692,56
694,40
695,64
696,12
697,145
698,72
699,76
700,32
701,52
702,52
703,41
705,68
706,41
707,24
708,40
709,40
710,60
712,49
713,21
714,32
715,40
716,40
718,168
719,40
720,48
721,68
722,40
723,29
724,32
725,61
726,56
727,24
728,72
729,40
730,56
731,64
733,24
734,88
735,36
736,24
737,40
738,48
740,64
741,40
742,41
743,41
744,61
745,40
746,49
747,21
748,24
749,44
750,24
751,24
752,52
753,60
754,72
755,56
756,28
757,61
758,32
759,24
761,32
762,40
763,36
764,40
765,69
766,64
767,72
768,60
769,151
770,40
771,40
772,56
773,40
774,56
775,40
776,72
777,68
778,117
779,62
780,69
781,72
782,76
783,20
784,24
785,24
786,40
787,40
789,77
790,48
791,64
792,27
793,40
794,31
795,28
796,76
797,56
798,48
799,32
800,40
801,48
802,44
803,44
804,76
805,40
806,92
807,57
808,104
809,72
810,65
811,24
812,60
813,72
814,47
815,60
816,40
817,197
818,241
819,40
820,44
821,68
822,72
823,32
824,48
826,41
828,64
830,20
834,24
835,41
836,41
838,40
839,44
841,12
842,28
843,32
845,12
846,60
847,28
848,36
849,61
850,72
851,48
852,40
853,40
854,28
855,40
856,60
857,41
858,24
859,49
860,56
861,72
862,53
863,36
864,41
865,72
866,60
867,65
868,61
869,24
870,56
871,12
872,76
873,23
874,40
875,69
876,36
877,81
878,72
879,24
880,88
881,56
882,69
883,24
884,52
885,24
886,76
887,24
888,60
889,32
890,61
891,60
892,61
893,
894,40
895,20
896,61
897,51
898,12
899,56
900,60
901,60
902,52
903,40
904,64
905,24
906,49
907,28
908,61
909,40
910,97
911,60
912,72
913,61
914,48
915,58
916,60
917,56
918,68
919,72
921,28
922,32
923,32
924,20
925,41
926,19
927,40
929,61
930,41
931,60
932,77
933,48
934,72
935,93
936,33
937,40
938,41
939,40
940,40
941,37
942,41
943,80
944,52
945,72
946,12
947,72
948,48
949,64
950,72
951,26
953,21
954,24
955,37
956,36
957,20
958,40
959,60
960,36
961,56
962,24
963,72
964,61
965,28
966,17
967,61
968,129
969,72
970,56
971,24
972,61
973,55
974,36
975,41
976,48
977,16
978,40
979,36
980,24
981,41
982,16
984,17
985,36
986,10
987,72
988,39
989,64
990,187
991,61
992,40
993,24
994,56
995,60
996,20
998,24
999,92
1000,40
1001,17
1002,44
1003,60
1004,48
1005,32
1006,48
1007,40
1008,24
1009,60
1010,56
1011,48
1012,41
1013,28
1014,44
1015,40
1016,57
1017,24
1018,24
1019,17
1021,60
1022,56
1023,49
1024,32
1025,40
1026,40
1027,61
1028,44
1029,48
1030,41
1032,48
1033,36
1034,41
1035,52
1036,45
1037,65
1038,81
1039,48
1040,60
1041,40
1042,60
1043,24
1044,56
1045,16
1046,16
1047,41
1050,8
1052,52
1053,41
1054,24
1055,41
1056,24
1057,36
1058,28
1059,32
1060,72
1061,24
1062,60
1063,15
1064,40
1066,81
1067,24
1068,56
1069,24
1070,69
1071,56
1072,73
1073,24
1074,40
1075,40
1076,48
1077,40
1078,12
1079,36
1080,44
1081,57
1082,40
1083,48
1084,41
1085,41
1086,32
1087,40
1088,48
1089,56
1090,137
1091,40
1092,32
1093,48
1094,40
1095,8
1096,32
1097,72
1098,94
1099,40
1100,52
1101,69
1102,69
1103,60
1104,80
1105,40
1106,32
1107,24
1109,24
1110,24
1111,60
1112,41
1115,24
1116,43
1117,112
1118,64
1119,32
1120,44
1121,72
1122,36
1123,41
1125,36
1126,73
1127,32
1128,52
1129,51
1130,52
1131,28
1132,57
1133,40
1134,44
1135,48
1136,56
1137,75
1138,44
1139,65
1140,56
1141,44
1143,40
1144,24
1146,76
1147,44
1148,53
1149,76
1150,56
1151,39
1152,24
1153,41
1154,60
1155,45
1156,41
1157,36
1158,77
1159,12
1160,60
1161,80
1162,32
1163,44
1164,52
1165,81
1166,8
1167,60
1168,69
1169,24
1170,52
1171,48
1172,121
1173,56
1174,48
1175,46
1176,8
1177,71
1178,61
1179,56
1180,24
1181,32
1182,48
1183,61
1184,68
1185,61
1186,76
1187,24
1188,48
1191,57
1192,24
1193,72
1194,65
1195,56
1196,32
1197,41
1198,73
1199,24
1200,28
1201,77
1202,41
1203,68
1204,61
1205,77
1206,68
1207,40
1209,56
1210,40
1211,24
1212,72
1213,48
1214,24
1215,32
1216,72
1217,60
1218,68
1219,41
1220,41
1221,56
1222,65
1223,61
1224,136
1225,121
1226,60
1227,40
1228,71
1229,48
1230,69
1231,12
1232,41
1233,40
1235,40
1236,40
1237,41
1238,56
1239,32
1240,56
1241,88
1242,45
1243,40
1244,56
1245,156
1247,64
1248,41
1249,76
1250,20
1252,8
1253,68
1254,72
1255,85
1256,28
1257,44
1261,56
1262,16
1263,60
1264,41
1265,56
1266,92
1267,45
1268,85
1269,36
1270,52
1271,40
1272,60
1273,24
1274,60
1275,28
1276,40
1277,24
1278,8
1279,61
1280,24
1281,56
1282,24
1283,60
1284,72
1285,61
1286,72
1287,57
1288,24
1289,61
1290,40
1291,16
1292,80
1293,40
1294,60
1295,24
1296,72
1297,93
1298,81
1299,72
1300,72
1301,68
1302,40
1303,52
1304,56
1305,73
1306,61
1307,40
1308,24
1309,40
1310,80
1311,40
1312,85
1313,84
1314,61
1316,56
1317,72
1318,48
1319,40
1320,56
1321,40
1322,76
1324,61
1325,20
1326,76
1327,72
1328,28
1329,36
1330,36
1331,37
1332,64
1333,40
1335,40
1336,49
1337,40
1338,8
1339,43
1340,56
1341,40
1342,41
1344,54
1345,32
1346,61
1347,60
1348,61
1349,20
1350,40
1351,40
1352,68
1353,41
1354,49
1355,61
1356,40
1357,72
1358,76
1359,73
1360,32
1361,61
1362,174
1363,24
1364,60
1366,68
1367,61
1369,48
1370,61
1371,40
1372,60
1373,60
1374,33
1375,61
1376,40
1377,56
1378,36
1379,56
1381,61
1382,72
1383,69
1384,24
1385,72
1386,32
1387,41
1388,36
1389,56
1390,130
1391,73
1392,81
1393,32
1394,48
1395,55
1396,61
1397,40
1398,48
1399,52
1400,116
1401,66
1403,36
1404,32
1405,56
1406,56
1407,40
1408,40
1409,48
1410,40
1411,56
1412,50
1413,40
1414,52
1415,48
1416,60
1417,61
1418,60
1419,40
1420,36
1421,41
1422,52
1423,32
1424,72
1425,40
1426,52
1427,40
1428,56
1429,76
1430,61
1431,41
1432,52
1433,56
1434,28
1435,24
1436,48
1437,24
1438,24
1439,41
1440,34
1441,40
1442,24
1443,40
1444,103
1445,64
1447,60
1448,56
1449,48
1450,55
1451,36
1452,41
1453,60
1454,41
1455,41
1457,50
1458,56
1459,40
1460,60
1461,70
1462,60
1463,40
1464,57
1465,61
1466,45
1468,60
1469,72
1470,101
1471,12
1472,137
1473,24
1474,61
1475,36
1476,40
1477,29
1479,72
1480,28
1481,56
1482,46
1483,40
1486,64
1487,40
1488,41
1489,25
1490,72
1491,49
1492,24
1493,48
1494,103
1495,72
1496,57
1497,24
1498,48
1499,48
1501,46
1502,40
1503,60
1504,39
1505,64
1506,36
1507,16
1509,24
1510,88
1511,64
1512,84
1513,60
1514,44
1515,69
1516,84
1517,36
1518,40
1519,49
1520,60
1521,40
1522,56
1523,52
1524,72
1525,72
1526,60
1527,40
1528,41
1530,40
1531,24
1532,64
1533,76
1534,87
1535,85
1536,113
1538,56
1539,56
1540,93
1541,56
1542,96
1543,56
1544,40
1545,21
1546,36
1547,44
1548,72
1549,61
1551,36
1552,53
1553,60
1554,68
1555,73
1556,39
1557,52
1558,40
1559,49
1560,52
1561,32
1563,40
1564,40
1565,89
1566,28
1567,95
1569,57
1570,48
1571,40
1572,29
1573,33
1574,68
1575,41
1576,20
1577,24
1578,41
1579,28
1580,40
1583,16
1584,76
1585,61
1586,41
1587,41
1588,56
1589,28
1590,52
1592,69
1593,65
1594,40
1595,40
1597,40
1598,52
1599,24
1600,19
1601,32
1602,52
1603,36
1604,61
1605,52
1606,41
1609,89
1610,24
1611,76
1612,68
1613,60
1614,32
1615,40
1616,33
1618,56
1619,60
1620,32
1621,36
1622,40
1624,72
1625,48
1626,41
1627,85
1628,60
1629,32
1630,36
1631,72
1632,24
1633,24
1634,85
1635,56
1636,85
1637,60
1638,36
1639,36
1641,36
1642,49
1643,68
1645,40
1646,61
1647,40
1648,65
1649,85
1650,48
1651,32
1652,24
1653,63
1654,20
1655,60
1657,77
1658,32
1659,12
1660,72
1661,47
1662,40
1663,68
1664,72
1665,44
1666,56
1667,36
1668,84
1669,61
1671,60
1673,44
1675,40
1676,64
1677,49
1678,60
1679,56
1680,48
1681,44
1682,65
1683,36
1685,61
1686,40
1687,56
1688,40
1689,16
1690,61
1691,8
1692,36
1693,46
1694,36
1695,45
1696,24
1697,12
1698,28
1699,48
1700,68
1701,25
1702,175
1703,72
1704,40
1705,28
1708,48
1709,60
1710,41
1711,40
1712,68
1713,32
1714,40
1718,65
1719,40
1720,41
1721,36
1722,24
1723,41
1724,60
1726,120
1727,60
1728,48
1729,16
1730,60
1731,36
1732,36
1733,40
1734,72
1735,48
1737,60
1738,17
1740,32
1744,24
1745,36
1746,48
1747,16
1748,48
1749,84
1750,56
1751,41
1752,56
1753,48
1754,53
1755,12
1756,41
1757,12
1758,52
1759,41
1760,28
1761,48
1762,76
1763,41
1764,41
1766,24
1767,61
1768,17
1771,77
1772,48
1773,40
1774,40
1775,69
1776,69
1779,40
1780,32
1781,48
1782,53
1783,32
1784,56
1785,41
1786,7
1787,36
1788,71
1789,20
1790,44
1791,69
1793,65
1795,29
1796,61
1797,48
1798,73
1800,78
1801,186
1802,24
1803,56
1804,44
1805,56
1806,56
1808,8
1809,57
1810,41
1811,56
1812,63
1813,48
1814,56
1815,41
1816,29
1817,60
1818,41
1819,73
1821,41
1824,80
1825,39
1826,46
1827,24
1828,77
1829,40
1830,65
1831,48
1832,68
1833,61
1834,77
1835,41
1836,56
1837,60
1839,56
1840,32
1841,40
1842,57
1843,24
1845,36
1846,69
1847,44
1848,64
1849,41
1851,80
1852,52
1853,64
1856,39
1857,46
1858,24
1859,48
1861,85
1862,28
1863,60
1865,24
1866,60
1868,61
1870,36
1871,60
1872,97
1874,179
1877,41
1878,8
1879,8
1880,57
1881,32
1882,33
1888,33
1889,64
1892,64
1894,60
1895,12
1896,20
1897,60
1898,28
1899,56
1900,68
1901,53
1902,56
1903,40
1904,16
1905,48
1907,36
1908,40
1909,144
1910,44
1911,36
1912,32
1913,60
1914,48
1915,60
1916,32
1917,41
1919,17
1920,41
1922,37
1923,40
1924,41
1925,52
1926,56
1927,32
1928,72
1929,88
1930,37
1931,33
1932,72
1933,41
1934,40
1936,100
1937,69
1938,64
1939,40
1940,56
1941,16
1942,48
1943,40
1946,32
1947,69
1948,64
1949,40
1950,48
1951,41
1953,28
1954,44
1955,41
1956,61
1957,48
1958,40
1959,61
1960,36
1961,40
1962,40
1963,44
1965,60
1966,40
1969,68
1971,24
1972,50
1973,40
1974,12
1975,48
1976,76
1978,52
1979,21
1982,69
1983,46
1986,64
1987,56
1988,68
1989,24
1990,20
1991,60
1992,41
1993,40
1994,72
1995,61
1996,36
1997,116
1998,48
1999,12
2000,44
2001,72
2002,40
2004,61
2005,61
2006,71
2007,55
2010,56
2011,12
2013,40
2014,96
2015,60
2016,69
2020,20
2021,60
2025,56
2028,20
2030,12
2031,41
2032,32
2033,29
2035,41
2036,41
2037,48
2038,74
2039,41
2043,24
2044,12
2046,53
2047,52
2048,64
2050,60
2051,76
2052,33
2053,44
2054,33
2055,60
2056,41
2057,12
2058,56
2060,31
2061,41
2062,52
2063,48
2065,57
2066,64
2069,68
2070,61
2071,87
2073,48
2075,60
2077,31
2078,61
2079,81
2080,56
2081,40
2082,32
2083,60
2084,72
2086,64
2088,40
2089,56
2091,68
2092,46
2093,40
2094,36
2097,36
2098,53
2099,46
2100,77
2101,41
2102,41
2104,40
2105,96
2106,60
2107,48
2110,84
2111,60
2113,57
2114,24
2115,72
2116,84
2117,68
2119,48
2120,48
2121,69
2123,72
2124,60
2125,16
2126,36
2127,61
2130,60
2131,17
2132,60
2133,24
2134,39
2135,24
2136,56
2137,56
2138,24
2140,64
2142,92
2143,36
2146,48
2147,44
2149,40
2150,46
2151,44
2152,40
2153,103
2154,56
2156,16
2159,40
2160,48
2161,37
2164,48
2165,12
2166,36
2173,12
2175,48
2176,48
2177,41
2178,52
2181,80
2183,48
2186,12
2187,48
2188,65
2189,60
2190,46
2191,40
2192,64
2193,61
2194,41
2196,56
2197,68
2198,12
2199,40
2201,68
2202,69
2206,46
2207,32
2209,56
2210,44
2211,28
2213,40
2214,72
2215,84
2218,60
2221,52
2223,24
2224,46
2226,36
2231,33
2234,68
2235,12
2237,60
2238,41
2239,64
2241,40
2242,56
2243,56
2244,71
2245,60
2246,16
2247,48
2249,61
2250,56
2251,32
2253,48
2256,41
2257,91
2258,46
2259,68
2262,56
2264,12
2265,40
2266,76
2269,41
2270,24
2271,69
2273,40
2275,41
2276,60
2277,32
2280,33
2285,81
2286,33
2288,48
2289,25
2291,46
2292,40
2293,40
2295,84
2297,41
2306,61
2307,24
2308,41
2309,40
2310,40
2311,40
2312,56
2313,40
2314,45
2315,25
2316,72
2317,50
2319,12
2320,52
2321,46
2322,48
2323,48
2325,84
2326,37
2328,44
2330,92
2332,16
2333,16
2335,41
2337,48
2338,60
2339,68
2345,12
2348,52
2349,12
2350,40
2351,40
2352,20
2354,76
2355,56
2358,77
2359,56
2360,56
2361,46
2362,62
2369,48
2370,52
2375,24
2376,60
2385,44
2386,48
2387,72
2388,28
2391,74
2392,85
2393,32
2394,32
2395,32
2397,32
2399,29
2400,56
