Store Number,Average Deliveries Per Week,Average Cases Delivered Per Week
2135,3,469
2136,2,487
2137,2,193
2138,2,188
2140,2,326
2142,2,881
2143,2,291
2146,3,358
2147,4,326
2149,2,267
2150,3,611
2151,2,247
2152,3,252
2153,2,523
2154,2,215
2156,3,159
2159,3,533
2160,2,360
2161,2,125
2164,2,638
2165,1,106
2166,2,191
2173,2,121
2175,2,678
2176,3,415
2177,1,352
2178,2,226
2181,2,473
2183,2,354
2186,1,66
2187,2,469
2188,1,139
2189,2,327
2190,2,368
2191,2,215
2192,4,401
2193,2,347
2194,2,199
2196,2,281
2197,2,359
2198,1,74
2199,2,513
2201,3,710
2202,2,486
2206,2,215
2207,1,154
2209,2,246
2210,2,297
2211,2,123
2213,3,685
2214,3,437
2215,1,199
2218,2,321
2221,2,418
2223,1,74
2224,2,159
2226,2,136
2231,2,363
2234,2,519
2237,3,811
2238,2,344
2239,2,631
2241,2,221
2242,2,483
2244,2,255
2245,2,572
2246,1,98
2249,2,735
2250,2,124
2251,2,419
2253,2,775
2256,2,325
2258,2,242
2259,2,506
2262,4,495
2264,2,51
2265,2,584
2266,2,309
2269,2,572
2270,2,77
2271,2,460
2273,2,299
2275,1,221
2276,2,485
2277,2,273
2280,2,161
2285,3,535
2286,3,354
2288,2,232
2289,4,183
2291,2,364
2292,2,414
2293,1,54
2295,2,309
2297,2,212
2306,3,638
2307,2,198
2308,2,451
2309,2,175
2310,2,236
2311,2,369
2312,3,237
2313,2,248
2314,2,315
2315,2,145
2316,2,298
2317,2,162
2319,2,157
2320,2,214
2321,2,430
2322,2,269
2323,2,203
2325,2,495
2326,2,300
2328,2,150
2330,2,721
2332,2,125
2333,1,190
2335,1,94
2337,3,414
2338,2,356
2339,2,415
2345,1,62
2348,2,547
2350,2,272
2351,2,280
2352,2,148
2354,2,156
2355,2,256
2358,4,919
2360,2,139
2361,1,119
2362,2,112
2369,2,432
2376,2,63
2385,2,364
2386,2,357
2387,3,458
2388,3,446
2392,3,260
2395,2,161
2397,2,200
2399,2,308
2400,2,246
2401,2,509
2403,2,533
2404,2,371
2405,3,692
2406,2,122
2415,3,89
2418,2,583
2421,2,514
2424,2,354
2426,4,251
2427,2,326
2428,2,109
2430,2,253
2432,2,263
2433,2,266
2434,2,422
2437,4,423
2438,2,446
2441,2,131
2442,2,224
2444,2,468
2447,1,118
2448,1,130
2450,3,385
2451,1,15
2453,2,485
2455,4,767
2458,2,254
2459,3,604
2468,2,145
2469,2,333
2471,3,216
2472,2,381
2473,2,681
2474,3,230
2475,2,199
2476,2,376
2479,2,478
2482,2,666
2484,2,496
2486,2,94
2488,3,340
2490,2,38
2491,2,586
2493,1,137
2494,2,292
2495,2,367
2499,3,237
2500,2,155
2504,3,371
2505,2,250
2506,2,264
2508,3,386
2509,1,271
2510,2,300
2512,2,921
2513,2,362
2515,2,654
2517,2,320
2522,2,815
2523,2,214
2526,2,172
2527,2,223
2529,3,408
2530,2,172
2531,2,148
2532,2,186
2533,3,626
2534,2,511
2536,2,453
2537,3,673
2538,2,251
2541,2,422
2542,2,386
2544,1,196
2545,2,377
2546,2,410
2547,3,269
2549,2,751
2550,2,217
2552,3,218
2553,2,340
2554,2,609
2556,3,387
2557,2,464
2558,2,87
2559,2,209
2562,1,70
2563,2,293
2564,3,356
2565,2,365
2566,3,425
2567,1,240
2571,2,182
2576,3,267
2580,2,518
2581,2,349
2583,1,84
2584,2,60
2586,2,165
2591,3,214
2592,2,390
2593,2,487
2594,2,228
2595,3,475
2596,3,567
2598,2,236
2599,2,404
2600,2,470
2605,2,231
2606,2,500
2607,2,216
2608,3,395
2609,2,306
2610,2,138
2612,3,829
2613,2,160
2615,2,342
2616,4,801
2617,2,332
2618,2,179
2619,2,447
2620,2,384
2621,2,232
2626,3,931
2627,2,223
2628,2,324
2630,2,441
2631,2,229
2632,2,301
2634,2,568
2637,3,363
2639,2,219
2643,1,16
2644,2,314
2645,2,187
2646,2,275
2647,2,505
2648,2,259
2649,2,346
2652,2,396
2653,2,403
2656,2,739
2657,2,259
2658,3,361
2659,2,64
2662,2,406
2665,2,457
2666,3,48
2667,2,470
2668,2,182
2671,2,602
2672,2,84
2678,2,247
2679,2,483
2680,2,223
2681,2,315
2682,2,129
2684,5,265
2685,1,15
2686,4,298
2687,2,470
2688,2,488
2690,2,380
2691,2,382
2692,2,357
2693,2,457
2694,2,452
2695,3,610
2696,2,264
2697,2,298
2699,1,183
2700,2,314
2702,2,379
2703,2,423
2704,2,548
2706,2,390
2708,2,805
2712,3,982
2713,2,377
2714,2,630
2715,3,800
2716,2,861
2717,2,260
2718,2,259
2720,2,295
2722,2,201
2724,2,709
2725,3,193
2726,3,278
2727,2,489
2728,2,585
2729,2,158
2730,2,338
2731,1,256
2732,3,480
2733,1,157
2734,2,426
2735,2,349
2739,2,423
2741,3,181
2742,2,201
2743,2,175
2744,2,161
2745,2,247
2748,3,1219
2749,2,340
2751,1,77
2752,1,31
2753,2,289
2754,2,425
2755,2,395
2757,2,212
2758,2,589
2760,2,409
2761,2,224
2762,2,393
2764,2,704
2766,2,417
2767,2,511
2768,2,487
2769,2,319
2771,2,531
2772,2,523
2773,1,225
2774,3,183
2777,2,932
2778,2,518
2779,2,86
2780,3,366
2781,3,415
2783,2,358
2785,2,177
2786,2,347
2787,2,213
2788,2,439
2789,3,417
2793,2,560
2794,2,126
2795,2,423
2796,3,577
2801,2,132
2803,2,348
2805,2,190
2807,2,535
2808,2,301
2809,3,290
2810,2,185
2811,2,427
2812,2,364
2813,2,422
2814,2,206
2815,2,130
2816,2,106
2817,1,6
2819,2,295
2820,2,126
2822,2,377
2826,2,577
2827,2,715
2831,2,300
2832,2,551
2833,2,187
2835,2,298
2836,2,433
2837,2,450
2838,2,463
2840,2,185
2842,2,418
2844,3,346
2845,2,368
2846,2,396
2847,2,548
2849,2,155
2852,2,424
2855,2,100
2856,2,398
2857,2,649
2858,2,220
2859,2,171
2860,2,448
2861,3,267
2862,3,296
2863,1,80
2864,2,374
2866,1,102
2867,2,128
2869,2,405
2872,2,254
2873,2,145
2874,3,316
2875,2,196
2876,2,195
2877,2,135
2878,2,324
2880,2,200
2881,2,338
2882,1,60
2883,1,228
2886,2,435
2887,3,880
2889,2,567
2890,2,182
2891,2,695
2892,1,88
2893,2,148
2905,2,68
2906,4,248
2907,2,93
2908,2,327
2910,2,323
2911,4,673
2912,2,411
2913,2,530
2914,2,494
2915,3,157
2916,3,120
2917,2,262
2918,2,206
2919,1,273
2920,3,505
2921,3,354
2922,2,486
2923,5,757
2925,2,398
2926,2,220
2927,2,326
2928,2,868
2929,2,616
2932,2,185
2933,3,257
2934,2,461
2935,2,479
2936,2,115
2937,2,59
2938,2,451
2939,2,230
2940,2,297
2941,2,156
2947,2,175
2948,2,382
2950,3,684
2951,3,701
2952,2,350
2955,2,440
2956,1,355
2958,2,521
2959,2,121
2962,3,532
2963,2,230
2966,2,301
2967,3,435
2968,3,417
2973,2,267
2974,2,245
2975,2,272
2976,2,239
2977,2,291
2978,2,386
2979,2,293
2981,2,278
2984,2,194
2985,2,325
2986,2,415
2987,2,452
2988,2,240
2989,2,227
2990,3,782
2991,2,404
2992,4,553
2993,2,246
2994,3,599
2995,2,117
2996,2,305
2998,1,57
3004,2,184
3008,2,124
3013,2,298
3014,2,467
3015,2,523
3017,2,167
3019,1,65
3020,1,36
3021,1,27
3022,2,222
3023,1,98
3025,1,95
3026,2,195
3030,1,36
3031,3,55
3032,2,108
3033,2,99
3042,2,163
3046,4,311
3047,2,253
3048,1,27
3049,2,359
3050,2,141
3052,2,150
3055,2,331
3057,2,318
3059,2,185
3062,3,249
3065,1,51
3066,3,331
3067,2,140
3068,2,80
3069,2,86
3071,2,106
3077,2,307
3083,1,29
3084,2,188
3088,3,231
3090,2,208
3093,3,226
3094,3,159
3096,1,28
3097,1,42
3098,2,169
3099,2,230
3101,2,147
3102,1,52
3103,2,135
3104,3,323
3106,2,656
3119,4,1345
3126,1,41
3127,1,35
3131,2,202
3133,2,170
3135,2,345
3136,3,926
3140,2,380
3142,2,234
3143,2,287
3144,2,215
3145,2,199
3146,2,128
3147,1,189
3149,2,95
3150,2,319
3151,2,256
3152,2,173
3156,2,149
3162,2,266
3166,2,145
3167,3,347
3169,2,386
3170,2,250
3171,2,239
3172,2,295
3173,2,292
3175,1,23
3177,1,54
3179,2,163
3180,2,284
3182,2,261
3183,2,215
3184,2,268
3185,2,178
3186,2,61
3188,2,124
3191,2,233
3192,2,395
3197,3,264
3198,2,180
3199,1,223
3202,2,214
3205,2,172
3206,2,345
3207,3,522
3208,2,199
3209,1,83
3210,2,688
3213,2,460
3214,3,301
3215,3,415
3216,3,781
3217,2,264
3218,2,484
3219,2,634
3220,2,294
3221,2,445
3222,2,510
3224,2,532
3225,2,479
3226,3,526
3227,1,44
3229,2,366
3230,2,74
3232,2,320
3233,2,98
3234,2,185
3235,2,329
3237,2,414
3238,3,202
3239,2,453
3241,2,462
3245,2,271
3250,2,178
3251,2,171
3254,2,542
3255,2,459
3258,3,473
3259,4,499
3260,2,395
3261,2,437
3262,2,458
3265,2,550
3267,2,606
3268,2,231
3269,2,314
3270,2,409
3271,2,367
3273,2,89
3274,2,343
3275,2,198
3276,3,421
3277,2,369
3278,2,526
3279,2,573
3280,2,152
3283,2,146
3284,2,384
3285,2,249
3286,2,515
3287,2,241
3289,2,371
3290,2,475
3293,2,232
3294,2,316
3296,2,290
3297,2,428
3298,2,646
3299,2,176
3300,2,356
3302,2,494
3303,2,163
3304,2,362
3305,2,431
3306,2,105
3307,3,691
3308,3,547
3309,3,330
3310,3,549
3311,3,158
3313,1,77
3315,2,446
3317,2,163
3320,2,810
3322,3,98
3328,2,351
3329,2,517
3330,2,236
3331,2,485
3332,4,773
3334,2,458
3336,2,302
3340,2,223
3341,2,264
3342,2,208
3344,3,659
3347,3,487
3348,2,377
3349,3,623
3350,2,624
3351,2,436
3352,2,465
3354,2,224
3355,2,236
3356,2,184
3357,2,311
3360,2,388
3362,2,422
3363,3,561
3366,2,178
3367,2,472
3370,3,836
3371,2,489
3377,2,684
3379,2,379
3380,2,497
3381,2,389
3382,2,143
3383,2,461
3384,2,396
3386,3,292
3387,4,1055
3388,2,232
3389,2,266
3390,2,400
3391,2,454
3392,2,241
3394,2,370
3395,2,495
3397,2,117
3400,2,348
3401,2,185
3403,2,320
3406,2,328
3408,2,455
3415,3,370
3417,3,729
3418,3,414
3419,2,219
3420,2,179
3424,2,468
3425,2,672
3427,2,415
3428,2,570
3430,2,310
3431,2,533
3432,2,248
3433,2,563
3434,2,338
3435,2,344
3436,2,368
3439,3,765
3441,2,95
3445,2,243
3447,3,171
3451,2,288
3453,1,284
3454,1,149
3457,2,229
3459,2,609
3460,3,481
3461,2,310
3463,3,552
3464,2,430
3465,2,665
3471,2,199
3472,3,562
3473,2,495
3474,3,625
3476,2,256
3477,3,277
3478,3,555
3479,3,402
3480,2,167
3482,2,285
3483,2,577
3484,3,571
3485,2,358
3486,2,246
3487,2,291
3488,2,238
3492,2,122
3493,2,239
3494,2,317
3495,2,482
3497,2,216
3499,2,348
3502,2,242
3503,2,697
3505,2,523
3506,2,210
3508,2,222
3509,2,378
3511,2,572
3512,2,89
3513,1,30
3515,2,189
3516,2,581
3517,2,135
3518,2,973
3522,2,501
3523,2,363
3524,2,296
3525,2,440
3526,3,510
3527,3,514
3528,2,367
3529,1,255
3530,2,208
3531,2,395
3533,1,96
3534,1,35
3535,3,647
3537,2,336
3538,3,450
3542,2,248
3549,3,449
3566,1,72
3567,2,472
3568,2,375
3569,2,333
3570,2,462
3571,2,127
3572,2,463
3573,2,376
3574,1,177
3579,2,240
3580,2,290
3581,2,233
3582,1,94
3583,2,253
3587,2,392
3588,2,281
3589,2,202
3590,2,511
3591,2,650
3593,2,162
3594,2,263
3595,2,455
3596,2,483
3597,2,334
3599,2,240
3600,2,284
3601,2,212
3602,2,464
3604,2,306
3607,2,354
3608,2,329
3609,2,197
3610,2,176
3612,2,543
3614,2,214
3615,2,207
3616,2,278
3617,2,215
3620,2,306
3621,2,146
3622,1,137
3623,2,577
3624,1,81
3625,2,168
3626,2,742
3627,2,274
3628,2,192
3630,2,600
3631,2,417
3632,1,329
3635,1,179
3637,2,164
3638,2,295
3640,2,402
3641,2,259
3643,2,241
3644,3,582
3645,2,1017
3648,1,559
3650,1,111
3652,2,474
3656,2,103
3659,2,231
3660,2,246
3661,3,720
3700,2,468
3701,2,498
3702,3,490
3703,2,188
3705,2,496
3709,2,229
3717,2,250
3722,2,333
3723,1,155
3724,2,573
3725,2,145
3726,2,255
3727,2,197
3728,2,310
3729,2,528
3730,2,508
3731,2,567
3732,2,565
3733,3,444
3734,2,344
3739,3,395
3742,2,256
3743,1,244
3745,1,222
3747,2,331
3748,2,291
3750,1,191
3751,2,920
3752,1,235
3757,2,487
3760,2,107
3761,1,62
3762,2,454
3763,3,1074
3764,1,1128
3765,2,276
3768,2,391
3770,3,318
3771,2,678
3773,2,495
3775,2,192
3777,2,422
3778,2,858
3779,1,87
3781,1,256
3782,3,391
3783,2,224
3784,1,201
3785,3,352
3786,2,318
3788,2,174
3789,2,224
3790,2,381
3794,2,329
3799,2,508
3801,2,471
3805,1,83
3806,1,63
3807,2,482
3809,2,192
3811,2,82
3812,3,171
3822,1,66
3826,2,623
3827,2,272
3828,2,508
3829,2,193
3831,3,368
3833,2,799
3835,2,251
3841,2,157
3842,2,307
3844,2,336
3845,2,378
3846,2,249
3847,2,535
3848,2,197
3850,2,457
3852,2,230
3853,3,376
3856,2,77
3857,2,249
3858,3,219
3861,2,343
3862,5,604
3864,3,661
3872,3,574
3874,2,382
3876,3,248
3877,2,329
3879,2,113
3883,2,412
3884,2,183
3886,2,360
3891,3,443
3893,2,369
3894,2,282
3897,2,354
4046,2,307
4048,2,292
4053,1,126
4057,3,205
4064,3,282
4103,2,340
4105,3,428
4114,2,215
4126,2,374
4127,2,365
4129,2,339
4131,2,302
4134,2,243
4137,2,326
4138,2,216
4140,1,95
4141,2,201
4143,2,72
4144,2,342
4145,2,242
4147,1,126
4149,2,179
4157,1,136
4159,2,123
4160,1,131
4161,2,131
4164,2,506
4167,2,482
4169,1,225
4171,2,225
4173,2,153
4176,2,209
4178,2,155
4180,3,161
4183,3,403
4188,2,199
4189,2,181
4191,2,148
4194,2,390
4195,2,356
4196,1,23
4198,2,44
4206,1,568
4208,1,77
4209,2,440
4210,3,439
4215,2,701
4217,1,82
4218,2,367
4219,2,360
4221,2,250
4223,2,386
4224,2,486
4226,2,233
4228,1,79
4230,2,380
4231,2,469
4233,2,264
4234,1,92
4235,3,581
4237,2,346
4239,2,507
4241,2,403
4243,2,413
4244,2,44
4246,1,51
4249,2,371
4250,2,235
4251,2,125
4252,2,639
4253,2,211
4254,2,172
4255,2,327
4256,2,587
4257,2,548
4258,2,409
4259,1,305
4262,3,436
4264,2,248
4274,2,630
4277,3,227
4278,2,170
4279,2,585
4282,2,60
4283,2,303
4284,1,69
4285,2,172
4288,1,65
4293,2,346
4295,2,452
4296,2,83
4298,2,526
4299,2,427
4303,2,163
4306,2,159
4309,2,342
4318,2,540
4321,2,131
4322,3,437
4323,2,558
4324,2,257
4325,2,1133
4332,3,791
4333,2,452
4334,3,444
4335,1,96
4336,1,657
4337,2,1280
4340,2,625
4341,2,621
4342,2,98
4350,2,397
4353,1,47
4354,2,315
4356,2,316
4357,2,343
4358,2,395
4359,2,84
4360,1,37
4367,2,391
4368,3,357
4369,1,166
4370,2,358
4372,2,239
4378,3,242
4379,2,394
4380,1,55
4383,2,217
4399,2,390
4405,2,463
4407,2,454
4409,2,328
4412,3,463
4413,2,231
4414,2,181
4415,3,841
4416,3,697
4417,2,364
4420,2,656
4424,2,204
4425,2,114
4427,3,375
4428,2,123
4430,2,703
4438,2,145
4439,2,273
4440,2,610
4444,2,360
4445,3,830
4446,2,335
4450,1,285
4451,2,572
4452,2,402
4458,2,328
4459,2,374
4460,2,295
4472,2,130
4473,2,436
4474,2,146
4475,2,135
4476,2,526
4477,2,485
4479,2,235
4482,2,269
4483,2,256
4487,3,614
4498,2,176
4499,2,536
4508,2,551
4509,2,365
4511,2,566
4514,2,339
4520,3,434
4523,2,157
4524,2,157
4531,2,257
4533,3,261
4538,2,473
4540,2,515
4543,2,780
4554,2,205
4556,2,152
4558,2,250
4564,3,495
4567,1,88
4570,2,177
4574,2,439
4580,2,204
4581,2,280
4583,2,280
4584,2,232
4588,2,313
4593,3,587
4594,2,597
4599,2,138
4600,2,560
4601,2,762
4603,2,295
4606,2,290
4607,2,208
4609,2,191
4611,2,67
4615,2,372
4616,2,158
4617,4,394
4623,2,392
4631,2,135
4635,2,298
4636,3,359
4637,2,347
4638,2,455
4639,1,45
4657,2,167
4659,2,194
4660,2,290
4664,2,466
4667,3,325
4677,3,133
4678,3,232
4679,2,359
4681,3,422
4682,2,469
4683,2,321
4689,1,18
4700,1,39
4706,2,190
4747,1,42
4757,2,183
4759,2,109
4849,2,138
4865,2,379
5002,1,33
5005,3,166
5007,2,310
5013,2,214
5014,2,225
5021,2,500
5022,3,553
5027,2,293
5028,2,163
5029,2,348
5030,2,262
5031,2,698
5033,1,114
5034,3,614
5035,4,762
5036,3,428
5037,3,535
5038,2,186
5041,2,542
5043,2,92
5044,2,463
5045,2,512
5048,2,332
5051,1,119
5054,3,465
5055,3,680
5056,2,430
5057,2,358
5058,2,186
5060,2,211
5063,2,309
5064,2,247
5065,2,310
5066,2,175
5068,2,164
5070,2,367
5071,2,349
5072,2,245
5073,2,279
5076,2,415
5080,2,322
5082,1,61
5083,2,68
5087,3,1005
5090,2,356
5092,2,397
5093,4,328
5097,2,243
5098,2,197
5099,2,84
5100,2,264
5101,2,487
5104,2,236
5105,3,628
5106,1,83
5108,3,688
5110,2,101
5113,2,644
5115,2,508
5116,2,633
5117,2,466
5118,2,287
5119,2,115
5122,2,90
5123,1,82
5124,2,553
5127,2,334
5132,3,434
5133,3,695
5134,2,704
5137,1,90
5139,2,407
5144,2,511
5145,3,633
5146,2,302
5147,2,832
5149,2,249
5150,2,540
5151,2,355
5152,2,170
5154,2,531
5155,2,909
5157,2,191
5159,2,729
5160,2,359
5162,2,456
5164,2,246
5165,2,654
5166,2,751
5167,2,231
5170,2,374
5172,3,535
5173,2,329
5174,2,399
5175,2,231
5179,2,252
5180,2,90
5181,2,228
5183,3,235
5184,4,297
5185,4,223
5186,2,346
5190,2,651
5191,2,537
5192,2,628
5193,2,435
5195,2,256
5196,2,157
5197,2,358
5199,2,464
5202,2,163
5203,2,212
5205,2,166
5206,2,122
5207,2,64
5210,1,398
5211,2,311
5216,2,210
5218,3,483
5220,3,238
5221,3,229
5226,2,201
5227,2,242
5231,2,421
5232,1,50
5233,2,472
5234,2,333
5235,2,260
5236,4,416
5240,3,334
5242,2,326
5244,2,306
5245,2,511
5246,2,377
5247,2,600
5250,3,451
5251,2,191
5252,2,378
5253,3,380
5254,2,485
5255,3,244
5257,2,329
5258,2,234
5259,2,154
5260,3,409
5261,3,867
5262,2,286
5263,2,257
5266,3,707
5269,2,375
5270,2,73
5272,2,417
5273,2,328
5274,3,324
5275,2,394
5276,2,226
5280,1,113
5286,2,157
5287,2,498
5288,2,616
5290,2,450
5292,2,314
5293,2,192
5296,2,158
5298,2,558
5299,3,1310
5300,3,611
5301,3,388
5303,2,345
5304,2,311
5305,3,553
5306,2,256
5307,2,134
5308,2,66
5309,2,290
5311,2,363
5312,2,633
5313,3,743
5314,2,210
5316,2,582
5317,2,427
5319,2,221
5320,2,464
5321,2,355
5325,2,295
5326,3,621
5327,2,151
5328,2,148
5330,2,742
5331,2,657
5332,2,308
5335,2,738
5337,2,407
5338,2,314
5341,1,70
5343,3,497
5348,3,452
5350,2,196
5352,1,213
5355,2,167
5359,2,415
5361,2,572
5363,2,280
5365,4,667
5366,3,491
5368,2,362
5369,2,794
5370,1,116
5372,1,172
5373,2,352
5374,2,242
5376,2,572
5385,2,206
5386,3,278
5387,2,228
5388,2,486
5389,2,505
5390,2,206
5391,3,739
5392,2,241
5394,3,998
5396,2,358
5397,2,95
5398,2,318
5399,2,1345
5402,1,133
5403,2,418
5404,1,95
5406,2,175
5408,2,268
5409,1,170
5410,2,365
5411,2,251
5416,2,552
5417,2,332
5418,2,211
5419,2,421
5420,3,1180
5422,2,450
5423,2,388
5424,2,593
5425,2,594
5426,2,198
5428,2,366
5429,2,662
5430,2,702
5433,2,347
5434,2,180
5435,3,600
5438,2,32
5440,2,172
5441,2,217
5442,2,170
5443,2,402
5444,3,117
5449,2,381
5451,3,533
5453,3,633
5455,3,861
5457,3,382
5458,2,48
5460,2,369
5462,2,270
5466,4,264
5471,2,284
5472,2,378
5477,3,697
5478,1,188
5479,2,255
5480,2,396
5481,2,394
5482,2,450
5485,1,48
5486,2,164
5487,2,397
5488,3,515
5489,1,203
5491,2,445
5493,3,916
5494,2,466
5497,5,553
5498,4,383
5499,2,145
5600,2,208
5601,2,354
5602,2,171
5603,1,213
5604,1,124
5606,2,343
5608,2,299
5609,2,145
5610,1,148
5611,2,115
5612,3,979
5613,2,269
5614,1,144
5615,2,174
5616,2,157
5622,2,316
5623,2,344
5624,2,127
5626,2,740
5627,2,217
5628,2,245
5629,2,194
5632,2,240
5633,2,268
5634,2,157
5635,2,492
5637,2,248
5638,2,461
5639,2,214
5640,3,247
5641,2,264
5643,2,139
5644,2,280
5645,2,85
5646,2,540
5647,2,115
5653,3,844
5654,3,173
5657,2,178
5658,2,212
5659,2,273
5661,2,202
5663,1,25
5664,1,124
5666,2,214
5667,2,135
5668,1,69
5669,2,197
5670,2,318
5671,2,250
5672,2,224
5673,2,236
5676,1,33
5678,2,212
5683,2,182
5684,2,301
5685,1,221
5687,2,255
5688,1,144
5690,3,287
5691,2,298
5692,3,295
5693,3,307
5695,2,77
5698,3,35
5701,2,319
5703,2,423
5705,3,824
5706,2,241
5707,2,487
5709,2,329
5710,2,338
5722,2,252
5727,3,564
5728,3,593
5731,2,335
5732,2,304
5735,3,471
5737,2,315
5738,2,416
5743,2,532
5745,2,683
5747,2,414
5748,3,621
5751,2,284
5753,2,246
5754,4,252
5755,2,347
5758,2,357
5759,2,228
5760,2,251
5761,2,192
5763,2,142
5764,2,533
5766,2,333
5767,1,117
5768,2,362
5772,2,373
5779,2,325
5781,2,142
5783,2,137
5786,2,294
5787,2,319
5797,2,377
5799,2,273
5804,2,222
5805,2,159
5808,2,389
5809,2,599
5810,2,300
5812,2,355
5813,2,192
5814,2,260
5815,2,87
5817,3,255
5818,3,294
5819,2,278
5820,3,237
5823,2,396
5826,2,205
5831,3,473
5832,2,229
5835,2,445
5837,3,173
5839,2,431
5840,2,170
5841,3,293
5842,2,321
5843,2,450
5844,2,203
5845,3,484
5846,2,212
5847,2,300
5848,2,230
5851,2,470
5853,2,261
5854,2,186
5855,1,64
5856,1,41
5858,2,402
5860,2,44
5863,2,176
5864,2,402
5869,2,244
5871,2,203
5872,4,819
5873,1,33
5874,2,150
5875,2,192
5876,3,385
5879,2,331
5880,2,285
5882,3,376
5883,2,505
5884,2,152
5886,2,167
5889,2,469
5890,2,330
5893,2,141
5894,2,300
5898,2,352
5899,2,153
5911,2,289
5912,2,156
5929,2,232
5930,2,337
5931,2,325
5932,3,204
5935,2,139
5936,2,170
5938,2,362
5939,2,93
5941,2,218
5945,3,128
5947,3,706
5954,2,269
5956,2,452
5957,1,61
5959,2,462
5960,3,636
5962,3,511
5963,2,173
5965,2,242
5969,2,241
5976,2,50
5977,1,21
5979,3,380
5980,2,157
5981,2,223
5982,2,98
5985,1,109
5986,1,91
5988,2,143
5990,1,47
5991,1,49
5992,1,31
5993,2,148
5994,2,140
5995,2,135
6078,2,140
6098,2,232
6159,2,326
6166,3,275
6167,2,78
6170,2,152
6172,2,55
6173,2,311
6177,2,69
6178,2,153
6226,2,160
6263,2,237
6264,2,167
6392,2,101
6394,2,79
6400,2,134
6459,2,198
6470,1,151
6500,2,183
6548,3,258
6574,2,145
6576,2,411
6577,2,198
6578,2,153
6585,1,212
6586,2,209
6588,2,175
6589,2,237
6590,2,264
6798,2,161
6813,4,659
6814,2,187
6828,2,250
6849,3,206
6850,3,283
6851,2,93
6933,2,28
6937,3,262
6942,2,127
6953,3,209
6960,2,233
6962,2,248
6968,1,222
6971,3,199
6998,2,225
7004,2,233
7043,2,227
7062,2,221
7072,2,220
7098,3,214
7127,2,216
7129,1,161
7146,2,247
7162,2,491
7168,2,154
7180,2,186
7205,2,362
7209,1,181
7217,2,160
7218,2,285
7222,2,174
7224,1,108
7232,1,194
7235,2,197
7238,3,173
7240,2,302
7241,2,311
7245,2,179
7247,2,155
7249,2,142
7309,2,188
7315,2,174
7329,2,169
7334,2,257
7342,2,150
7357,2,210
7361,2,160
7362,2,214
